Row From To Airline
173,SFO,ORD,United Airlines
174,ORD,AMS,United Airlines
175,AMS,ORD,United Airlines
176,ORD,SFO,United Airlines
177,SFO,DFW,United Airlines
178,DFW,SFO,United Airlines
179,JFK,BCN,Delta Air Lines
180,BCN,JFK,Delta Air Lines
181,SFO,MSP,Delta Air Lines
182,MSP,CMH,Delta Air Lines
183,CMH,ATL,Delta Air Lines
184,ATL,SFO,Delta Air Lines
185,SFO,ORD,United Airlines
186,ORD,AMS,United Airlines
187,AMS,IAD,United Airlines
188,IAD,SFO,United Airlines
189,SFO,HKG,United Airlines
190,HKG,XMN,Cathay Dragon
191,XMN,HKG,Cathay Dragon
192,HKG,SFO,United Airlines
193,SYD,OOL,Jetstar
194,BNK,SYD,Jetstar
195,SFO,ORD,United Airlines
196,ORD,SFO,United Airlines
197,SFO,ORD,United Airlines
198,ORD,SFO,United Airlines
199,ORD,SFO,United Airlines
200,SFO,LAX,United Airlines
201,LAX,MEL,United Airlines
202,SYD,SFO,United Airlines
203,SFO,IAD,United Airlines
204,IAD,ALB,United Airlines
205,AMS,MUC,Lufthansa
206,MUC,HND,ANA
207,HND,FRA,Lufthansa
208,FRA,AMS,Lufthansa
209,SFO,ORD,United Airlines
210,ORD,AMS,United Airlines
211,AMS,ORD,United Airlines
212,ORD,SFO,United Airlines
213,SFO,ORD,United Airlines
214,ORD,AMS,United Airlines
215,SFO,HKG,Singapore Airlines
216,HKG,SIN,Singapore Airlines
217,SIN,BLR,Singapore Airlines
218,BLR,SIN,Singapore Airlines
219,SIN,HKG,Singapore Airlines
220,HKG,SFO,Singapore Airlines
221,AMS,FRA,Lufthansa
222,FRA,CAI,EgyptAir
223,CAI,FRA,Lufthansa
224,FRA,AMS,Lufthansa
225,SFO,JFK,United Airlines
226,IAD,SFO,United Airlines
227,SFO,SEA,Virgin America
228,SEA,SFO,Virgin America
229,SFO,SEA,United Airlines
230,SEA,SFO,United Airlines
231,SFO,KIX,United Airlines
232,KIX,SFO,United Airlines
233,SFO,IAD,United Airlines
234,IAD,SAV,United Airlines
235,SAV,ORD,United Airlines
236,ORD,SFO,United Airlines
237,SFO,IAD,United Airlines
238,IAD,FRA,United Airlines
239,FRA,CAI,United Airlines
240,CAI,FRA,United Airlines
241,FRA,SFO,United Airlines
242,AMS,PVG,KLM
243,PVG,AMS,KLM
244,AMS,IAD,United Airlines
245,IAD,SFO,United Airlines
246,AMS,FRA,United Airlines
247,FRA,SFO,United Airlines
248,SFO,EWR,United Airlines
249,EWR,AMS,United Airlines
250,SFO,ORD,United Airlines
251,ORD,RDU,United Airlines
252,RDU,ORD,United Airlines
253,ORD,SFO,United Airlines
254,IAH,AMS,United Airlines
255,AMS,TXL,KLM
256,TXL,AMS,KLM
257,AMS,IAH,United Airlines
258,IAH,SFO,United Airlines
259,SFO,SEA,United Airlines
260,SEA,SFO,United Airlines
261,KIX,TPE,Jetstar Asia
262,TPE,KIX,Jetstar Asia
263,ALB,IAD,United Airlines
264,IAD,ATL,United Airlines
265,ATL,IAD,United Airlines
266,IAD,SFO,United Airlines
267,AMS,ARN,SAS
268,ARN,AMS,SAS
269,AMS,IAH,United Airlines
270,IAH,SFO,United Airlines
271,SFO,IAD,United Airlines
272,IAD,AMS,United Airlines
